prompt,completion
"Gotta change my answering machine
Now that I'm alone","'Cause right now it says that we
Can't come to the phone
And I know it makes no sense
'Cause you walked out the door
But it's the only way I hear your voice anymore
PreChorus
It's ridiculous
It's been months
And for some reason I just Can't get over us
And I'm stronger than this yeah Enough is enough
No more walking 'round with my head down Yeah
I'm so over being blue
Cryin' over you

Chorus
And I'm so sick of love songs so tired of tears
So done with wishin' you were still here
Said I'm so sick of love songs so sad and slow
So why can't I turn off the radio

Verse 2
Gotta fix that calendar I have
That's marked July 15th
Because since there's no more you
There's no more anniversary
I'm so fed up with my thoughts of you
And your memory
And how every song reminds me of what used to be
That's the reason

Chorus
I'm so sick of love songs so tired of tears
So done with wishin' you were still here
Said I'm so sick of love songs so sad and slow
So why can't I turn off the radio
Oh leave me alone Leave me alone
Stupid love songs Ohoh hey
Don't make me think about her smile
Or having my first child
I'm letting go
Turning off the radio

Chorus
'Cause I'm so sick of love songs Hey so tired of tears So tired of tears
So done with wishin' she were still here Oh
Said I'm so sick of love songs so sad and slow Ooh oh
So why can't I turn off the radio Why can't I turn off the radio
And I'm so sick of love songs so tired of tears So tired of tears
So done with wishing she were still here
Said I'm so sick of love songs so sad and slow Hey
Why can't I turn off the radio Why can't I turn off the radio
And I'm so sick of love songs So sick of love songs
So tired of tears And I'm so sick so sick of love song
So done with wishing you were still here
And I'm so sick so sick of love songs
Said I'm so sick of love songs so sad and slow Hey
So why can't I turn off the radio

Outro
Why can't I turn off the radio"
"Ooh it's something about
Just something about the way she move","I can't figure it out
It's something about her
Said ooh it's something about
Kind of woman that want you but don't need you
Hey I can't figure it out
It's something about her
PreChorus 1
'Cause she walk like a boss talk like a boss
Manicured nails to set the pedicure off
She's fly effortlessly
And she move like a boss do what a boss do
She got me thinking about getting involved
That's the kinda girl I need oh

Chorus
She got her own thing
That's why I love her
Miss independent
Won't you come and spend a little time
She got her own thing
That's why I love her
Miss independent
Ooh the way we'd shine
Miss independent

Hook
You yeah you you
You yeah you you
You yeah you you you

Verse 2
Uh ooh there's something about
Kind of woman that can do for herself
I look at her and it makes me proud
It's something about her
It's something ooh so sexy about
Kind of woman that don't even need my help
She said she got it she got it no doubt she said she got it she got it no doubt
It's something about her there's something about her
'Cause she work like a boss play like a boss
Car and a crib she 'bout to pay 'em both off
And her bills are paid on time yeah
She made for a boss only a boss
Anything less she's telling them to get lost
That's the girl that's on my mind

Chorus
She got her own thing
That's why I love her
Miss independent
Won't you come and spend a little time
She got her own thing
That's why I love her
Miss independent
Ooh the way we'd shine
Miss independent yeah

Bridge
Mmh her favorite thing to say Don't worry I got it
Mmh and everything she got best believe she bought it
Mmh she gon' steal my heart ain't no doubt about it
Girl you're everything I need
I said you're everything I need
Hook
You yeah you you
You yeah you you
You you you Oh whoa

Chorus
She got her own thing
That's why I love her That's why I love her oh whoa
Miss independent Independent
Won't you come and spend a little time
She got her own thing She got she got
That's why I love her That's why I love that girl
Miss independent Oh oh
Ooh the way we'd shine
Miss independent

Outro
Miss independent"
"Want to but I can't help it I love the way it feels
It's got me stuck between my fantasy and what is real","I need it when I want it I want it when I don't
Tell myself I'll stop everyday knowin' that I won't

Refrain
I got a problem and I don't know what to do about it
Even if I did I don't know if I would quit but I doubt it
I'm taken by the thought of it
PreChorus
And I know this much is true
Baby you have become my addiction
I'm so strung out on you
I can barely move but I like it

Chorus
And it's all because of you All because of you
And it's all because of you All because of you
And it's all because of you All because of you
And it's all because
Never get enough
She's the sweetest drug oohohoh

Verse 2
Think of it every second I can't get nothin' done
Only concern is the next time I'm gon' get me some
Know I should stay away from 'cause it's no good for me
I try and try but my obsession won't let me leave

Refrain
I got a problem and I don't know what to do about it
Oh even if I did I don't know if I would quit but I doubt it
I'm taken by the thought of it hey

PreChorus
And I know this much is true
Baby you have become my addiction
I'm so strung out on you Strung out on you
I can barely move but I like it I like it
And it's all because of you Oh all because of you
And it's all because of you All because of you
And it's all because of you All because of you
And it's all because
Never get enough Never get enough
She's the sweetest drug oohohoh

Bridge
Ain't no doubt No doubt hey so strung out Strung out
Ain't no doubt There's ain't no grain of doubt oh
So strung out Hey
Over you over you You over you You
Oohohoh because of you
And it's all because of you
Never get enough
She's the sweetest drug

PreChorus
And I know this much is true
Baby you Baby you you you
Have become my addiction My addiction
I'm so strung out on you
I can barely move but I like it Oh I like it yeah

Chorus
And it's all because of you All because of you
And it's all because of you All because of you
And it's all because of you All because of you
And it's all because
Never get enough Oh never get enough
She's the sweetest drug
Outro"
"In case you didn't know Juicy that nigga
I keep me two hoes like that nigga Jack Tripper","I shoot in they face like that boy Reggie Miller
And I kill that pussy like my name Jack the Ripper
Baby I'm horny and I ain't too proud to beg
Instead show me the bed
Early morning breakfast and head
And I got Tina Tasha and Toya I call em the triple threat
All them bitches be soaking wet
This the first night them bitches met
Verse 2 NeYo
You know from the moment she turn around
She know how to back it up and drop it down
She know she what all the fellas looking at
Cause they know soon as her song come on it's a wrap

PreChorus 1 NeYo
And she loves the attention
That she get when she moves yeah
Showin' out with her home girls
Hypnotizing all the dudes oh

Chorus NeYo
And she knows
She knows she knows she knows
She knows
She knows she knows she knows
She knows
She knows she knows she knows
I know I know she knows
She knows she knows she knows
And I know I know she knows

Verse 3 NeYo
She bad mix of ratchet with the classy oh
So bad I just couldn't let her pass me no
I told her Shawty you so right but you so wrong
So wrong so wrong so wrong
She said Daddy I'll be back after this song
Then you takin' me home
Said I know
Said I know she loves the attention
That she get when she moves
Showin' out with her home girls
And she got me watching too girl

Chorus NeYo
And she knows
She knows she knows she knows
She knows
She knows she knows she knows
She knows
She knows she knows she knows
I know I know she knows
She knows she knows she knows
And I know I know she knows

Verse 4
She know what she working with
She know she know she know
I see you uh
You got my attention baby go do what you do
Eviction notice know you gon' have to make a move
All this ice in my Rollie no wonder I play it cool
Ain't no I in team but I got my eyes on you
I watch it bounce when she walk
She lick her lips when she talk
I throw her in that Bentley coupé with the top off like Mardi Gras
All that cake come get you some filling
Like a soap opera watch all my children
Hit it so long that she might lose feeling
With her legs in the air she gon' walk on the ceiling
PreChorus 2 NeYo
Said I know she loves the attention
That she get when she moves
Showin' out with her home girls
And she got me watching too girl

Chorus NeYo
And she knows
She knows she knows she knows
She knows
She knows she knows she knows
She knows
She knows she knows she knows
I know I know she knows
She knows she knows she knows"
"Talkin' in my sleep at night makin' myself crazy
Out of my mind out of my mind","Wrote it down and read it out hopin' it would save me
Too many times too many times

Refrain
My love he makes me feel like nobody else nobody else
But my love he doesn't love me so I tell myself I tell myself
PreChorus
One Don't pick up the phone
You know he's only callin' 'cause he's drunk and alone
Two Don't let him in
You'll have to kick him out again
Three Don't be his friend
You know you're gonna wake up in his bed in the morning
And if you're under him you ain't gettin' over him

Chorus
I got new rules I count 'em
I got new rules I count 'em
I gotta tell them to myself
I got new rules I count 'em
I gotta tell them to myself

Verse 2
I keep pushin' forwards but he keeps pullin' me backwards
Nowhere to turn no way
Nowhere to turn no
Now I'm standin' back from it I finally see the pattern
I never learn I never learn

Refrain
But my love he doesn't love me so I tell myself I tell myself
I do I do I do
One Don't pick up the phone
You know he's only callin' 'cause he's drunk and alone
Two Don't let him in
You'll have to kick him out again
Three Don't be his friend
You know you're gonna wake up in his bed in the morning
And if you're under him you ain't gettin' over him

Chorus
I got new rules I count 'em
I got new rules I count 'em
I gotta tell them to myself
I got new rules I count 'em
I gotta tell them to myself

Bridge
Practice makes perfect
I'm still tryna learn it by heart I got new rules I count 'em
Eat sleep and breathe it
Rehearse and repeat it 'cause I I got new

PreChorus
One Don't pick up the phone yeah
You know he's only callin' 'cause he's drunk and alone alone
Two Don't let him in uhooh
You'll have to kick him out again again
Three Don't be his friend
You know you're gonna wake up in his bed in the morning
And if you're under him you ain't gettin' over him
Chorus
I got new rules I count 'em
I got new rules I count 'em
Whoaooh whoaooh whoa
I gotta tell them to myself
I got new rules I count 'em
Baby you know I count 'em
I gotta tell them to myself

Outro
Don't let him in don't let him in
Don't don't don't don't
Don't be his friend don't be his friend
Don't don't don't don't
Don't let him in don't let him in
Don't don't don't don't
Don't be his friend don't be his friend
Don't don't don't don't"
"Did a full oneeighty crazy
Thinking 'bout the way I was","Did the heartbreak change me Maybe
But look at where I ended up
I'm all good already
So moved on it's scary
I'm not where you left me at all so
PreChorus
If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

Chorus
Don't show up don't come out
Don't start caring about me now
Walk away you know how
Don't start caring about me now

Verse 2
Aren't you the guy who tried to
Hurt me with the word goodbye
Though it took some time to survive you
I'm better on the other side
I'm all good already
So moved on it's scary
I'm not where you left me at all so

PreChorus
If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me
Don't don't don't

Chorus
Don't show up don't come out
Don't start caring about me now
Walk away you know how
Don't start caring about me now 'Bout me now 'bout me
Up up
Don't come out out out
Don't show up up up
Don't start now Oh
Up up
Don't come out out
I'm not where you left me at all so

PreChorus
If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

Chorus
Don't show up Don't show up don't come out Don't come out
Don't start caring about me now 'Bout me now
Walk away Walk away you know how You know how
Don't start caring about me now So

Outro
Up up
Don't come out out out
Don't show up up up
Walk away walk away So
Up up
Don't come out out out
Don't show up up up"
"You call me all friendly
Tellin' me how much you miss me","That's funny I guess you've heard my songs
Well I'm too busy for your business
Go find a girl who wants to listen
'Cause if you think I was born yesterday you have got me wrong

PreChorus
So I cut you off
I don't need your love
'Cause I already cried enough
I've been done
I've been movin' on since we said goodbye
I cut you off
I don't need your love
So you can try all you want
Your time is up I'll tell you why
Chorus
You say you're sorry but it's too late now
So save it get gone shut up
'Cause if you think I care about you now
Well boy I don't give a fuck

Verse 2
I remember that weekend
When my best friend caught you creepin'
You blamed it all on the alcohol
So I made my decision
'Cause you made your bed sleep in it
Play the victim and switch your position
I'm through I'm done

PreChorus
So I cut you off
I don't need your love
'Cause I already cried enough
I've been done
I've been movin' on since we said goodbye
I cut you off
I don't need your love
So you can try all you want
Your time is up I'll tell you why
You say you're sorry but it's too late now
So save it get gone shut up
'Cause if you think I care about you now
Well boy I don't give a fuck

PostChorus
I see you tryna get to me
I see you beggin' on your knees
Boy I don't give a fuck
So stop tryna get to me
Tch get up off your knees
'Cause boy I don't give a fuck

Bridge
About you
No I don't give a damn
You keep reminiscin' on when you were my man
But I'm over you
Now you're all in the past
You talk all that sweet talk but I ain't comin' back

Breakdown
Cut you off
I don't need your love
So you can try all you want
Your time is up I'll tell you why
I'll tell you why
Chorus
You say you're sorry but it's too late now
So save it get gone shut up
Too late now
'Cause if you think I care about you now
Well boy I don't give a fuck
Boy I don't give a

PostChorus
I see you tryna get to me
I see you beggin' on your knees
Boy I don't give a fuck
So stop tryna get to me get to me
Tch get up off your knees"
"If you wanna run away with me I know a galaxy
And I can take youfora ride","I hada premonition that we fell intoa rhythm
Where the music don't stop for life
Glitter in the sky glitter in my eyes
Shining just the way I like
If you're feeling like you need a little bit of company
You met me at the perfect time

PreChorus
You want me I want you baby
My sugarboo I'm levitating
The Milky Way we're renegading
Yeah yeah yeah yeah yeah
Chorus
I got you moonlight you're my starlight
I need you all night come on dance with me
I'm levitating
You moonlight you're my starlight You're the moonlight
I need you all night come on dance with me
I'm levitating

Verse 2
I believe that you're for me I feel it in our energy
I see us written in the stars
We can go wherever so let's do it now or never
Baby nothing's ever ever too far
Glitter in the sky glitter in our eyes
Shining just the way we are
I feel like we're forever every time we get together
But whatever let's get lost on Mars

PreChorus
You want me I want you baby
My sugarboo I'm levitating
The Milky Way we're renegading
Yeah yeah yeah yeah yeah

Chorus
I got you moonlight you're my starlight
I need you all night come on dance with me
I'm levitating
You moonlight you're my starlight You're the moonlight
I need you all night come on dance with me
I'm levitating
You can fly away with me tonight
You can fly away with me tonight
Baby let me take you for a ride
Yeah yeah yeah yeah yeah
I'm levitating Woo
You can fly away with me tonight
You can fly away with me tonight
Baby let me take you for a ride
Yeah yeah yeah yeah yeah Woo

Bridge
My love is like a rocket watch it blast off
And I'm feeling so electric dance my ass off
And even if I wanted to I can't stop
Yeah yeah yeah yeah yeah
My love is like a rocket watch it blast off
And I'm feeling so electric dance my ass off
And even if I wanted to I can't stop
Yeah yeah yeah yeah yeah

PreChorus
You want me I want you baby
My sugarboo I'm levitating
The Milky Way we're renegading
Chorus
I got you Yeah moonlight you're my starlight
I need you all night All night come on dance with me
I'm levitating Woo

PostChorus
You can fly away with me tonight Tonight
You can fly away with me tonight
Baby let me take you for a ride
Yeah yeah yeah yeah yeah Take you for a ride
I'm levitating Woo
You can fly away with me tonight Tonight
You can fly away with me tonight
Baby let me take you for a ride
Yeah yeah yeah yeah yeah Let me take you for a ride

Chorus
I got you moonlight you're my starlight You are my starlight
I need you all night come on dance with me Come on dance with me
I'm levitating
You moonlight you're my starlight You're the moonlight
I need you all night come on dance with me"
"When I'm underneath the bright lights
When I'm tryna have a good time","'Cause I'm good now you ain't mine
Now now now now don't call me up
When you're looking at my photos
Getting hot losing control
You want me more now I let go
Now now now now

PreChorus
I'm over you and I don't need your lies no more
'Cause the truth is without you boy I'm stronger
And I know you said that I changed with my cold heart
But it was your game that left scars
Ooh I'm over you
Chorus
Don't call me up
I'm going out tonight
Feeling good now you're outta my life
Don't wanna talk about us
Gotta leave it behind
One drink and you're outta my mind
Now now take it up
Baby I'm on a high
You're alone going out of your mind
When I'm here up in the club
And I don't wanna talk
So don't call me up

Verse 2
'Cause I'm here looking fine babe
And I got eyes looking my way
And everybody's on my vibe babe
Now now now now don't call me up
My friends said you were a bad man
I should have listened to them back then
And now you're tryna hit me up again
Now now now now

PreChorus
I'm over you and I don't need your lies no more
'Cause the truth is without you boy I'm stronger
And I know you said that I changed with my cold heart
But it was your game that left scars
Ooh I'm over you
Don't call me up
I'm going out tonight
Feeling good now you're outta my life
Don't wanna talk about us
Gotta leave it behind
One drink and you're outta my mind
Now now take it up
Baby I'm on a high
You're alone going out of your mind
When I'm here up in the club
And I don't wanna talk
So don't call me up

Bridge
Don't call me up
So don't call me up
Don't call me up

PreChorus
I'm over you and I don't need your lies no more
'Cause the truth is without you boy I'm stronger
And I know you said that I changed with my cold heart
But it was your game that left scars
Ooh I'm over you
Chorus
Don't call me up
I'm going out tonight
Feeling good now you're outta my life
Don't wanna talk about us
Gotta leave it behind
One drink and you're outta my mind
Now now take it up
Baby I'm on a high
You're alone going out of your mind
When I'm here up in the club
And I don't wanna talk"
"Mama don't run away
You know I got it I know you want it","I'm a phone call away
You know you're on my mind
I know that you wanna stay
Let me take you to space
I can smell you from miles away
Wanna see you in lingerie
Oh yeah yeah yeah yeah
You've got it I want it
When I'm willing to put my all in
Wanna see you in the mornings
It should be me that you're callin'
You've got it I want it
When I'm willing to put my all in
Wanna see you in the mornings
It should be me that you're callin'
Chorus
Put your arms all around it
Take it now that you've found it
It don't need to be no deeper
It's finders keepers
Put your arms all around it
Take it now that you've found it
It don't need to be no deeper
It's finders keepers
It's finders keepers
It's finders keepers
It don't need to be no deeper
It's finders keepers

PostChorus
I got what you want
If you trust me the trust me
I got what you want
If you trust me then trust me
I got what you want 'cause I got you

Verse 2
I don't need miracles from ya
Stop going all digital on me
Don't feel like you need to try and love me
'Cause I don't need a spiritual journey
Boy why you living in fear
You don't live around here
Let's make use of the timing
These are the ends I stay
I don't plan on coming your way
Let's make use of the timing

Chorus
Put your arms all around it
Take it now that you've found it
It don't need to be no deeper
It's finders keepers
Put your arms all around it
Take it now that you've found it
It don't need to be no deeper
It's finders keepers
It's finders keepers
It's finders keepers
It don't need to be no deeper
It's finders keepers

PostChorus
I got what you want
If you trust me then trust me
I got what you want
If you trust me then trust me
I got what you want 'cause I got you
Verse 3
I don't need miracles from ya Ooh
So let's keep the talk minimal Ooh
Is it criminal for me to want you right here right now
They say it's all chemical

PreChorus
Boy why you living in fear
You don't live around here
Let's make use of the timing
No I don't mind if you take me home
Didn't come here to leave on my own
Let's make use of the timing

Chorus
Put your arms all around it
Take it now that you've found it
It don't need to be no deeper
It's finders keepers
Put your arms all around it
Take it now that you've found it
It don't need to be no deeper
It's finders keepers
It's finders keepers
It's finders keepers
It don't need to be no deeper
It's finders keepers

PostChorus
I got what you want
If you trust me then trust me
I got what you want
If you trust me then trust me
I got what you want 'cause I got you

Outro Kojo Funds
Yeah
It's you and me you and me
So put your arms all around it around it
Yeah yeah yeah yeah"
"I've been looking for somebody
Tryna kick it with somebody","I need a rude boy to tellmesomething sweet
Same timegot his hands up on mybody
I wanna get high when he take it low low
Make me feel strong when I'm taking control
I've been looking for my shawty
So come and get it if you got it

PreChorus
All my girls 'round the world
I know you know what I mean
I get a little sexy when I'm lonely
One thing on my mind I know what I need
All my girls 'round the world
Hands up and sing it with me
'Cause everything I got you know it's all me
Even though a man ain't something I need
Chorus
I want a boyfriend so put it on me
I'm looking for a man who can take that heat
Want a boyfriend but not too sweet
My baby gotta be tough while he running that street
Is he ride or die
I've been looking so long for a guy to turn me on
I want a boyfriend yeah yeah
I want a boyfriend yeah
I've been looking like

PostChorus
Where you at where you at
Where you at where you at
Where you at where you at
Where you at where you at

Verse 2
I need you and me together
I ain't looking for forever
I had so much stress from my ex to the next
Want you better love me better
I need a bad boy that don't bring me drama
He ain't tryna roll when he get the nah nah
Boy you ready for the pleasure
And don't you know it's now or never
All my girls 'round the world
I know you know what I mean
I get a little sexy when I'm lonely
One thing on my mind I know what I need
All my girls 'round the world
Hands up and sing it with me
'Cause everything I got you know it's all me
Even though a man ain't something I need

Chorus
I want a boyfriend so put it on me
I'm looking for a man who can take that heat
Want a boyfriend but not too sweet
My baby gotta be tough while he running that street
Is he ride or die
I've been looking so long for a guy to turn me on
I want a boyfriend yeah yeah
I want a boyfriend yeah
I've been looking like

PostChorus
Where you at where you at
Where you at where you at I want a boyfriend
Where you at where you at
Where you at where you at
PreChorus
All my girls 'round the world
I know you know what I mean
I get a little sexy when I'm lonely
One thing on my mind I know what I need
All my girls 'round the world
Hands up and sing it with me
'Cause everything I got you know it's all me
Even though a man ain't something I need

Chorus
I want a boyfriend so put it on me
I'm looking for a man who can take that heat
Want a boyfriend but not too sweet
My baby gotta be tough while he running that street
Is he ride or die
I've been looking so long for a guy to turn me on
I want a boyfriend yeah yeah
I want a boyfriend yeah
I've been looking like

PostChorus
Where you at where you at
Where you at where you at I want a boyfriend
Where you at where you at"
"Boy you lookin' like my type
But tell me can you hit it right","'Cause if I let you in tonight
You better put it dododown dododown
Now we're through with all the talk
I ain't playing anymore
You heard me when I said before
You better put it dododown dododown

PreChorus
Made me say
You know what I like like like like
Come put your body on mine mine mine mine
Keep it up all night night night night
Don't let me down dododown
Chorus
All night give me mad love
All night give me mad love
All night give me mad love
Yeah don't let me down dododown
All night give me mad love Give me mad love
All night give me mad love Give me mad love
All night give me mad love Give me mad love
Yeah don't let me down dododown

Verse 2
You come over we could chill
Tell each other how we feel
But babe you know I love the thrill
When you put it dododown dododown
I'm alright on my own
But with you I'm in the zone
One shot don't let it go
You better put it dododown dododown

PreChorus
Made me say
You know what I like like like like
Come put your body on mine mine mine mine
Keep it up all night night night night
Don't let me down dododown
All night give me mad love
All night give me mad love
All night give me mad love
Yeah don't let me down dododown
All night give me mad love Give me mad love
All night give me mad love Give me mad love
All night give me mad love Give me mad love
Yeah don't let me down dododown

Bridge
If I back up can you handle
Get it all night give me mad love
Don't be too nice better man up
No don't let me down dododown
If I back up can you handle
Get it all night give me mad love
Don't be too nice better man up
No don't let me down dododown

Chorus
All night give me mad love
All night give me mad love
All night give me mad love
Yeah don't let me down dododown
All night give me mad love Give me mad love
All night give me mad love Give me mad love
All night give me mad love Give me mad love
Yeah don't let me down dododown
Outro
Made me say
You know what I like like like like
Come put your body on mine mine mine mine
Keep it up all night night night night
Don't let me down dododown
If I back up can you handle
You know what I like like like like
Get it all night give me mad love
Come with your body on mine mine mine mine
Don't be too nice better man up
Keep it up all night night night night"
"I might never be your knight in shinin' armour
I might never be the one you take home to mother","And I might never be the one who brings you flowers
But I can be the one be the one tonight

PreChorus
When I first saw you from across the room
I could tell that you were curious oh yeah
Girl I hope you're sure what you're looking for
'Cause I'm not good at making promises
Chorus  All
But if you like causing trouble up in hotel rooms
And if you like having secret little rendezvous
If you like to do the things you know that we shouldn't do
Then baby I'm perfect
Baby I'm perfect for you
And if you like midnight driving with the windows down
And if you like goin' places we can't even pronounce
If you like to do whatever you've been dreamin' about
Then baby you're perfect
Baby you're perfect
So let's start right now

Verse 2 Niall
I might never be the hands you put your heart in
Or the arms that hold you any time you want them
But that don't mean that we can't live here in the moment
'Cause I can be the one you love from time to time

PreChorus
When I first saw you from across the room
I could tell that you were curious oh yeah
Girl I hope you're sure what you're looking for
'Cause I'm not good at making promises

Chorus  All
But if you like causing trouble up in hotel rooms
And if you like having secret little rendezvous
If you like to do the things you know that we shouldn't do
Then baby I'm perfect
Baby I'm perfect for you
And if you like midnight driving with the windows down
And if you like goin' places we can't even pronounce
If you like to do whatever you've been dreamin' about
Then baby you're perfect
Baby you're perfect
So let's start right now
And if you like cameras flashin' every time we go out
Oh yeah
And if you're looking for someone to write your breakup songs about
Then baby I'm perfect
And baby we're perfect

Chorus  All
If you like causing trouble up in hotel rooms
And if you like having secret little rendezvous
If you like to do the things you know that we shouldn't do
Then baby I'm perfect
Baby I'm perfect for you
And if you like midnight driving with the windows down
And if you like goin' places we can't even pronounce
If you like to do whatever you've been dreamin' about
Then baby you're perfect
Baby you're perfect"
"Written in these walls are the stories that I can't explain
I leave my heart open","But it stays right here empty for days
She told me in the morning
She don't feel the same about us in her bones
It seems to me that when I die
These words will be written on my stone

PreChorus Zayn All
And I'll be gone gone tonight Ohohoh
The ground beneath my feet is open wide Ohohoh
The way that I've been holding on too tight Ohohoh
With nothing in between
Chorus  All
The story of my life I take her home
I drive all night to keep her warm
And time is frozen The story of the story of
The story of my life I give her hope
I spend her love until she's broke inside
The story of my life The story of the story of

Verse 2 Niall
Written on these walls are the colors that I can't change
Leave my heart open
But it stays right here in its cage
I know that in the morning
I'll see us in the light up on the hill
Although I am broken my heart is untamed still

PreChorus  All
And I'll be gone gone tonight Ohohoh
The fire beneath my feet is burning bright Ohohoh
The way that I've been holding on so tight Ohohoh
With nothing in between

Chorus  All
The story of my life I take her home
I drive all night to keep her warm
And time is frozen The story of the story of
The story of my life I give her hope
I spend her love until she's broke inside
The story of my life The story of the story of
And I've been waiting for this time to come around
But baby running after you
Is like chasing the clouds

Breakdown Niall
The story of my life I take her home
I drive all night to keep her warm
And time is frozen

Chorus All Zayn
The story of my life I give her hope I give her hope
I spend her love until she's broke inside 'Til she's broke inside
The story of my life The story of the story of

Outro All
The story of my life
The story of my life The story of the story of"
"I've got fire for a heart I'm not scared of the dark
You've never seen it look so easy","I got a river for a soul and baby you're a boat
Baby you're my only reason

PreChorus
If I didn't have you there would be nothing left
The shell of a man who could never be his best
If I didn't have you I'd never see the sun
You taught me how to be someone yeah
Chorus  Niall
All my life you stood by me
When no one else was ever behind me
All these lights they can't blind me
With your love nobody can drag me down
All my life you stood by me
When no one else was ever behind me
All these lights they can't blind me
With your love nobody can drag me down

PostChorus
Nobody nobody
Nobody can drag me down
Nobody nobody
Nobody can drag me down

Verse 2 Niall Niall
I've got fire for a heart I'm not scared of the dark
You've never seen it look so easy
I got a river for a soul and baby you're a boat
Baby you're my only reason

PreChorus    All
If I didn't have you there would be nothing left Nothing left
The shell of a man who could never be his best Be his best
If I didn't have you I'd never see the sun See the sun
You taught me how to be someone yeah
All my life you stood by me
When no one else was ever behind me
All these lights they can't blind me
With your love nobody can drag me down

PostChorus
Nobody nobody
Nobody can drag me down
Nobody nobody
Nobody can drag me

Builtup
All my life you stood by me
When no one else was ever behind me
All these lights they can't blind me
With your love nobody can drag me down

Chorus Niall
All my life you stood by me
When no one else was ever behind me
All these lights they can't blind me
With your love nobody can drag me down Nobody can drag me down

PostChorus
Nobody nobody
Nobody can drag me down Nobody can drag me down yeah
Nobody nobody
Nobody can drag me down Nobody can drag me down
Nobody nobody
Nobody can drag me down Down
Nobody nobody"
"You're insecure don't know what for
You're turnin' heads when you walk through the door","Don't need makeup to cover up Huh
Bein' the way that you are is enough

PreChorus
Everyone else in the room can see it
Everyone else but you

Chorus All
Baby you light up my world like nobody else
The way that you flip your hair gets me overwhelmed
But when you smile at the ground it ain't hard to tell
You don't know ohoh you don't know you're beautiful
If only you saw what I can see
You'll understand why I want you so desperately
Right now I'm looking at you and I can't believe
You don't know ohoh you don't know you're beautiful ohoh
That's what makes you beautiful
Verse 2 Zayn
So ccome on you got it wrong
To prove I'm right I put it in a song
I don't know why you're being shy
And turn away when I look into your eyes

PreChorus
Everyone else in the room can see it
Everyone else but you

Chorus All  Zayn
Baby you light up my world like nobody else 'Body else
The way that you flip your hair gets me overwhelmed
But when you smile at the ground it ain't hard to tell
You don't know ohoh you don't know you're beautiful Oh
If only you saw what I can see
You'll understand why I want you so desperately
Right now I'm looking at you and I can't believe
You don't know ohoh you don't know you're beautiful ohoh
That's what makes you beautiful

Bridge All
Na nanana nanana na na
Na nanana nana
Na nanana nanana na na
Na nanana nana
Baby you light up my world like nobody else
The way that you flip your hair gets me overwhelmed
But when you smile at the ground it ain't hard to tell
You don't know ohoh You don't know you're beautiful

Chorus All  Zayn
Baby you light up my world like nobody else Light up my world like nobody else
The way that you flip your hair C'mon gets me overwhelmed
But when you smile at the ground Smile at the ground it ain't hard to tell
You don't know ohoh you don't know you're beautiful Oh woah
If only you saw what I can see
You'll understand why I want you so desperately Desperately
Right now I'm looking at you and I can't believe
You don't know Don't know ohoh you don't know you're beautiful ohoh
You don't know you're beautiful ohoh
That's what makes you beautiful"
"Sporty  Ginger
If you want my future forget my past","If you wanna get with me better make it fast
Now don't go wasting my precious time
Get your act together we could be just fine
PreChorus Scary Ginger
I'll tell you what I want what I really really want
So tell me what you want what you really really want
I wanna Hey I wanna Hey I wanna Hey I wanna Hey
I wanna really really really wanna zigazig ah

Chorus All Baby
If you wanna be my lover you gotta get with my friends
Gotta get with my friends
Make it last forever friendship never ends
If you wanna be my lover you have got to give
Taking is too easy but that's the way it is

Verse 2 Sporty  Ginger Posh
Oh what you think about that now you know how I feel
Say you could handle my love are you for real
Are you for real
I won't be hasty I'll give you a try
If you really bug me then I'll say goodbye

PreChorus Scary Ginger
Yo I'll tell you what I want what I really really want
So tell me what you want what you really really want
I wanna Hey I wanna Hey I wanna Hey I wanna Hey
I wanna really really really wanna zigazig ah
If you wanna be my lover you gotta get with my friends
Gotta get with my friends
Make it last forever friendship never ends
If you wanna be my lover you have got to give
You've got to give
Taking is too easy but that's the way it is

Verse 3 Scary Ginger All
So here's a story from A to Z
You wanna get with me you gotta listen carefully
We got Em in the place who likes it in your face
We got G like MC who likes it on an
Easy V doesn't come for free she's a real lady
And as for me haha you'll see
Slam your body down and wind it all around
Slam your body down and wind it all around

Chorus All
If you wanna be my lover you gotta get with my friends
Gotta get with my friends
Make it last forever friendship never ends
If you wanna be my lover you have got to give
You've got to give
Taking is too easy but that's the way it is
Outro All Scary
If you wanna be my lover
You gotta you gotta you gotta you gotta you gotta slam
Make it last forever
Slam slam slam slam
Slam your body down and wind it all around
Slam your body down and wind it all around
Hey hey hey hey hey hey
Slam your body down and wind it all around
Slam your body down and zigazig ah
Uh uh uh uh"
